tweet_id,Username,text,Artist,created_at
1650154620130320384,juniorkatu7,meus top artistas do momento:1. The Weeknd2. Beyonc . Donny Hathaway . Pusha T5. Celine Dion . Bee Gees7. Tarcsio do acordeon . Djavan9. Gal Costa10. Bryan AdamsNesta ordem.,The Weeknd,2023-04-23 15:08:14+00:00
1650154542779060224,themattripley,"Getting hit with the monster scare in Legends is hard to top, but each has their own unique vibe that was enjoyable. Pleasantly surprised at some of the scares in Weeknd. Didnt expect that one to deliver like it did!",The Weeknd,2023-04-23 15:07:56+00:00
1650154449627693057,cyberdjteam,The Weeknd feat. Future-Double Fantasy(CDT beat of the week April ).,The Weeknd,2023-04-23 15:07:33+00:00
1650154135960813571,kikeTHC4,starboy! | by the weeknd&gt;,The Weeknd,2023-04-23 15:06:19+00:00
1650153875163475968,meowiyel,"the weeknd, CAS",The Weeknd,2023-04-23 15:05:16+00:00
1650153599064854529,hiphopclang,Weeknd released a full length project and Drake only released a project full of throwaways and still outsold him lol,The Weeknd,2023-04-23 15:04:11+00:00
1650153566663999490,Garigurie__,night ride kali ya?? sambil dengerin the weeknd live in los angeles,The Weeknd,2023-04-23 15:04:03+00:00
1650153502335696902,__gianelle,todo sea por ver The Weeknd en octubre,The Weeknd,2023-04-23 15:03:47+00:00
1650153460082278401,WajaTheHAT,The Weeknd era has been summoned again,The Weeknd,2023-04-23 15:03:37+00:00
1650153153457963019,prttyannsol,I love The Weeknd,The Weeknd,2023-04-23 15:02:24+00:00
1650153096616771584,Cali4niaManiac,"What The Weeknd does for yall, Labrinth does for me.",The Weeknd,2023-04-23 15:02:11+00:00
1650153090748669957,annaa_aguiaaar,the weeknd&gt;&gt;&gt;&gt;&gt;&gt;,The Weeknd,2023-04-23 15:02:09+00:00
1650152818588696583,theyhategandhi,she ate that lil one thing!,The Weeknd,2023-04-23 15:01:04+00:00
1650152781590740996,bowdownforneee,I finally get a wake n bake in on The Weeknd while Dj still sleeping! Dude usually up at SHARP! Lmfao. He stretched out still.,The Weeknd,2023-04-23 15:00:56+00:00
1650152754374119425,devanshuud1,So you heard ice spice and french montana but not WeekndBe serious,The Weeknd,2023-04-23 15:00:49+00:00
1650152699902545923,hot21radio,The Weeknd Has Safety Scare During Coachella Weekend,The Weeknd,2023-04-23 15:00:36+00:00
1650152644621529089,tainifee,lana e the weeknd obviamente,The Weeknd,2023-04-23 15:00:23+00:00
1650152525444554754,bobohu47,"Die For Love (remix of'Die For You-The Weeknd,Ariana Grande','Cry For Lo...",The Weeknd,2023-04-23 14:59:55+00:00
1650152425246846977,vicvieirass,Meu top artistas do momento: . The weeknd2. Kayblack3. Duquesa4. Veigh5. Yunk Vino6. L77. Cabelinho8. Luanna9. Budah10. SZA,The Weeknd,2023-04-23 14:59:31+00:00
1650152011583635457,JuanaMercadoo,Cuando le gusta The Weeknd,The Weeknd,2023-04-23 14:57:52+00:00
1650152004646326275,frankiekella,"Producer, sound engineer, and collaborator needed for a fun little Weeknd type song im making for a little story im writing &lt;33",The Weeknd,2023-04-23 14:57:50+00:00
1650151962678300672,ilhamramliii,"Relax fans our admin will upload our lovely sonny and the entire staff training with laughing and stuff. Our plyer just enjoying light training, bug ass wages and plays like shit at the weeknd",The Weeknd,2023-04-23 14:57:40+00:00
1650151950820999170,violenceultra,"Wow, fantastic song. The Weeknd did my favorite version.",The Weeknd,2023-04-23 14:57:38+00:00
1650151821531283462,IsaWasAWillow,"Pink + White by Frank Ocean C.R.E.A.M by Wu tang clan Sing about me, Im dying of thirst by Kendrick Lamar Telepatia by Kali Uchis x1=LOVESONG by Tomorrow x TogetherIn the night by the Weeknd Runaway with me by Carly Rae Jepsen Digital love by Daft Punk",The Weeknd,2023-04-23 14:57:07+00:00
1650151708654202883,thatbitchsmine,"lmao, bad bunny will never be The Weeknd",The Weeknd,2023-04-23 14:56:40+00:00
1650151658142269440,kdrsplaylist,Die For You by The Weeknd &amp; Ariana Grande at,The Weeknd,2023-04-23 14:56:28+00:00
1650151506371563520,slayeveryday101,the weeknd too SKJAKSJSK got me feeling things.,The Weeknd,2023-04-23 14:55:52+00:00
