tweet_id,Username,text,Artist,created_at,sentiment,polarity
1647673347159851009,dmncwlhlm,"RT @rpnickson: Listen to this AI generated song featuring Drake &amp; The Weeknd.

It goes so damn hard.

It's by ""Ghostwriter977"" on TikTok an…",The Weeknd,2023-04-16 18:48:32+00:00,negative,-0.2916666666666667
1647673346501296128,danthebizman88,"RT @rpnickson: Listen to this AI generated song featuring Drake &amp; The Weeknd.

It goes so damn hard.

It's by ""Ghostwriter977"" on TikTok an…",The Weeknd,2023-04-16 18:48:32+00:00,negative,-0.2916666666666667
1647673328323424257,mirkokiefer,"RT @rpnickson: Listen to this AI generated song featuring Drake &amp; The Weeknd.

It goes so damn hard.

It's by ""Ghostwriter977"" on TikTok an…",The Weeknd,2023-04-16 18:48:28+00:00,negative,-0.2916666666666667
1647673308937175040,sunnyhrtz,i  thnk  i  get  2  see  th  new  mario  movi  next  weeknd,The Weeknd,2023-04-16 18:48:23+00:00,positive,0.06818181818181818
1647673290750558209,lilacbunie,@P0PE0FP0P ugh so stargirl the weeknd geazy tumblr of u,The Weeknd,2023-04-16 18:48:19+00:00,neutral,0.0
1647673274145607680,heteshsehgal,"RT @rpnickson: Listen to this AI generated song featuring Drake &amp; The Weeknd.

It goes so damn hard.

It's by ""Ghostwriter977"" on TikTok an…",The Weeknd,2023-04-16 18:48:15+00:00,negative,-0.2916666666666667
1647673211469922306,_iamstephanie_,"RT @rpnickson: Listen to this AI generated song featuring Drake &amp; The Weeknd.

It goes so damn hard.

It's by ""Ghostwriter977"" on TikTok an…",The Weeknd,2023-04-16 18:48:00+00:00,negative,-0.2916666666666667
1647673206671818753,DigitalLuiggi,"RT @rpnickson: Listen to this AI generated song featuring Drake &amp; The Weeknd.

It goes so damn hard.

It's by ""Ghostwriter977"" on TikTok an…",The Weeknd,2023-04-16 18:47:59+00:00,negative,-0.2916666666666667
1647673192750653441,Advocacy_org,"RT @rpnickson: Listen to this AI generated song featuring Drake &amp; The Weeknd.

It goes so damn hard.

It's by ""Ghostwriter977"" on TikTok an…",The Weeknd,2023-04-16 18:47:56+00:00,negative,-0.2916666666666667
1647673190427279361,McPhersonJ_,"RT @rpnickson: Listen to this AI generated song featuring Drake &amp; The Weeknd.

It goes so damn hard.

It's by ""Ghostwriter977"" on TikTok an…",The Weeknd,2023-04-16 18:47:55+00:00,negative,-0.2916666666666667
1647673175537221634,aguscolombbo1,RT @kik1nha: the weeknd &gt;&gt;&gt;&gt;&gt;&gt;&gt;,The Weeknd,2023-04-16 18:47:51+00:00,neutral,0.0
1647673160165388290,chulse22,"RT @rpnickson: Listen to this AI generated song featuring Drake &amp; The Weeknd.

It goes so damn hard.

It's by ""Ghostwriter977"" on TikTok an…",The Weeknd,2023-04-16 18:47:48+00:00,negative,-0.2916666666666667
1647673156922925056,PGeeemmyy3,"RT @TWverses: Calvin Harris, The Weeknd - Over Now https://t.co/nz8iL8z3GG",The Weeknd,2023-04-16 18:47:47+00:00,neutral,0.0
1647673134244298753,_milimartinezz1,RT @kik1nha: the weeknd &gt;&gt;&gt;&gt;&gt;&gt;&gt;,The Weeknd,2023-04-16 18:47:42+00:00,neutral,0.0
1647673110978609153,rula_awad,"RT @rpnickson: Listen to this AI generated song featuring Drake &amp; The Weeknd.

It goes so damn hard.

It's by ""Ghostwriter977"" on TikTok an…",The Weeknd,2023-04-16 18:47:36+00:00,negative,-0.2916666666666667
1647673108730347531,mlubear,RT @kik1nha: the weeknd &gt;&gt;&gt;&gt;&gt;&gt;&gt;,The Weeknd,2023-04-16 18:47:36+00:00,neutral,0.0
1647673088576741376,Tycolter1,"RT @rpnickson: Listen to this AI generated song featuring Drake &amp; The Weeknd.

It goes so damn hard.

It's by ""Ghostwriter977"" on TikTok an…",The Weeknd,2023-04-16 18:47:31+00:00,negative,-0.2916666666666667
1647673074106466305,levanjaparidze6,"@RitikaInTech My current fave is ""Blinding Lights"" by The Weeknd 🎵 Can't go wrong with it! 🕺 Enjoy! #MusicRecommendation #PlaylistVibes",The Weeknd,2023-04-16 18:47:27+00:00,negative,-0.041666666666666664
1647673073779326977,BradleyMoonsey,"RT @rpnickson: Listen to this AI generated song featuring Drake &amp; The Weeknd.

It goes so damn hard.

It's by ""Ghostwriter977"" on TikTok an…",The Weeknd,2023-04-16 18:47:27+00:00,negative,-0.2916666666666667
1647673048764493824,Jennifer_smurfs,"Haven’t seen AI songs of Taylor swift, Harry or any white person. But I have seen Tupac Biggie Drake weeknd Kanye a… https://t.co/tJOXdCgKwY",The Weeknd,2023-04-16 18:47:21+00:00,neutral,0.0
1647636267985948674,2lastdays,"@69_skander The weeknd,Abel Makkonen Tesfaye, Starboy, Abel, XO, The weeknd",The Weeknd,2023-04-16 16:21:12+00:00,neutral,0.0
1647400911109783553,scarebeartarry,@ejbinvestments this is something big for Abel Makkonen Tesfaye 👌,The Weeknd,2023-04-16 00:45:59+00:00,neutral,0.0
